iter	RMSE
0	10.067468
1	9.943282448
2	9.8365319
3	9.724091271
4	9.621779138
5	9.536895132
6	9.435063798
7	9.357193601
8	9.281272538
9	9.206836647
10	9.139961426
11	9.071875988
12	9.013895379
13	8.953312062
14	8.90403267
15	8.845826606
16	8.797317656
17	8.747399509
18	8.696547701
19	8.652587711
20	8.621581337
21	8.584951965
22	8.545002481
23	8.514405774
24	8.487980457
25	8.458529378
26	8.431264988
27	8.402601143
28	8.371260458
29	8.348203314
30	8.324518711
31	8.302614883
32	8.279971862
33	8.258120526
34	8.235596165
35	8.215133676
36	8.197187369
37	8.178009778
38	8.164347347
39	8.14567488
40	8.130091706
41	8.115120287
42	8.106857292
43	8.092814042
44	8.073987269
45	8.058932555
46	8.04865723
47	8.037290567
48	8.02578256
49	8.014024782
50	8.003902768
51	7.994260636
52	7.980569908
53	7.967765315
54	7.955644408
55	7.943910099
56	7.931024373
57	7.921947924
58	7.907734367
59	7.89867848
60	7.891897929
61	7.883128268
62	7.876805389
63	7.865596308
64	7.857017421
65	7.849646658
66	7.838761195
67	7.831159605
68	7.817669425
69	7.809260828
70	7.800337949
71	7.792648866
72	7.77926064
73	7.764779706
74	7.756102607
75	7.750252571
76	7.742230826
77	7.736354615
78	7.730437073
79	7.71974564
80	7.707493294
81	7.700221007
82	7.689411861
83	7.682278192
84	7.674743371
85	7.667575457
86	7.661229987
87	7.649408079
88	7.64268602
89	7.633372882
90	7.625361432
91	7.620469052
92	7.608824542
93	7.601550012
94	7.59438052
95	7.589552958
96	7.585299519
97	7.579206353
98	7.571992381
99	7.56505282
100	7.556096784
101	7.540755329
102	7.532476535
103	7.525923701
104	7.521566759
105	7.514158574
106	7.501528833
107	7.497843554
108	7.492694433
109	7.484107386
110	7.475988946
111	7.465307337
112	7.46300168
113	7.451913594
114	7.443321599
115	7.438137096
116	7.429117867
117	7.423136546
118	7.416699126
119	7.404703215
120	7.399108192
121	7.389547505
122	7.384894825
123	7.383053389
124	7.373108487
125	7.366268386
126	7.361158544
127	7.357209588
128	7.352945405
129	7.346042009
130	7.342334133
131	7.340531792
132	7.332360378
133	7.325508197
134	7.319299822
135	7.312970019
136	7.304280718
137	7.300992894
138	7.296167778
139	7.288388989
140	7.280385383
141	7.275318731
142	7.267663678
143	7.261459149
144	7.256785306
145	7.250658917
146	7.240005212
147	7.227931555
148	7.222685274
149	7.214082046
150	7.210394997
151	7.203135936
152	7.197850506
153	7.191982693
154	7.186739669
155	7.179954848
156	7.176625957
157	7.168351792
158	7.163306194
159	7.156808456
160	7.150508705
161	7.143997444
162	7.136624192
163	7.128553269
164	7.119015978
165	7.11453468
166	7.110963432
167	7.106380247
168	7.101073938
169	7.099525538
170	7.093678276
171	7.08633515
172	7.080581549
173	7.074080394
174	7.066997388
175	7.057472688
176	7.048808981
177	7.042311183
178	7.037278277
179	7.027677521
180	7.024113291
181	7.018480624
182	7.008647528
183	7.005368394
184	7.003861427
185	6.995537621
186	6.99005123
187	6.989438626
188	6.985050943
189	6.977375962
190	6.972571008
191	6.965828143
192	6.958302249
193	6.952131902
194	6.948291117
195	6.940690252
196	6.93728328
197	6.932772841
198	6.929690365
199	6.924840912
200	6.923794042
201	6.917310344
202	6.913522398
203	6.906208208
204	6.901383693
205	6.900039735
206	6.895406228
207	6.886941399
208	6.877887922
209	6.874420201
210	6.870560741
211	6.8664046
212	6.860266709
213	6.856175854
214	6.855453025
215	6.848531585
216	6.842457406
217	6.841765596
218	6.835861071
219	6.832828007
220	6.827005798
221	6.816438382
222	6.815932299
223	6.814431055
224	6.808723988
225	6.797002709
226	6.788885039
227	6.782637296
228	6.777223097
229	6.770847519
230	6.770394348
231	6.769952898
232	6.769397948
233	6.768970728
234	6.756976609
235	6.745001841
236	6.742505467
237	6.732303023
238	6.728907645
239	6.72020321
240	6.717256844
241	6.716782017
242	6.709145086
243	6.705742688
