iter	Passed	Remaining
0	0	245
1	0	220
2	1	212
3	1	218
4	2	213
5	2	208
6	2	204
7	3	200
8	3	198
9	4	196
10	4	195
11	4	202
12	6	247
13	6	242
14	7	239
15	7	235
16	8	232
17	8	228
18	8	225
19	9	223
20	9	221
21	10	218
22	10	216
23	10	214
24	11	213
25	11	212
26	13	231
27	13	228
28	13	226
29	14	224
30	14	222
31	15	220
32	15	218
33	15	216
34	16	214
35	16	213
36	16	211
37	17	209
38	17	208
39	18	207
40	18	206
41	18	204
42	19	203
43	19	202
44	19	201
45	20	200
46	20	199
47	21	198
48	21	197
49	21	196
50	22	201
51	23	200
52	23	201
53	25	210
54	26	212
55	29	237
56	31	247
57	32	250
58	33	249
59	33	248
60	34	246
61	34	244
62	35	242
63	35	241
64	35	239
65	36	237
66	36	236
67	36	234
68	38	241
69	40	249
70	41	250
71	41	249
72	42	247
73	42	246
74	43	244
75	43	243
76	45	248
77	45	246
78	45	244
79	46	246
80	47	245
81	47	244
82	48	243
83	48	241
84	49	240
85	49	239
86	50	237
87	50	236
88	50	234
89	51	233
90	51	231
91	51	230
92	52	229
93	52	227
94	53	226
95	53	225
96	53	224
97	54	222
98	54	221
99	55	220
100	55	219
101	55	217
102	56	218
103	58	222
104	61	229
105	61	230
106	62	228
107	64	233
108	64	231
109	65	230
110	65	229
111	66	229
112	66	227
113	66	226
114	67	225
115	67	223
116	72	236
117	72	235
118	73	235
119	74	235
120	74	234
121	75	234
122	76	233
123	76	231
124	77	233
125	78	232
126	79	234
127	80	233
128	80	232
129	81	231
130	81	230
131	82	228
132	83	230
133	84	229
134	84	228
135	84	226
136	85	225
137	85	225
138	86	224
139	86	222
140	87	221
141	87	220
142	88	221
143	88	220
144	89	218
145	89	217
146	90	216
147	90	215
148	90	213
149	91	213
150	91	211
151	93	213
152	94	213
153	94	212
154	95	211
155	95	210
156	95	209
157	96	208
158	96	207
159	96	206
160	97	204
161	97	203
162	98	202
163	98	202
164	99	201
165	99	200
166	99	199
167	100	198
168	100	197
169	101	196
170	101	195
171	101	194
172	102	193
173	102	192
174	102	191
175	103	190
176	104	189
177	104	189
178	104	188
179	105	187
180	105	186
181	106	185
182	106	184
183	107	183
184	108	184
185	108	183
186	109	182
187	109	181
188	109	180
189	110	179
190	110	178
191	110	177
192	111	176
193	111	176
194	111	175
195	112	174
196	112	173
197	113	172
198	113	171
199	113	170
200	114	169
201	114	168
202	114	168
203	115	167
204	115	166
205	116	165
206	116	164
207	116	163
208	117	163
209	117	162
210	117	161
211	118	160
212	118	159
213	118	158
214	119	158
215	119	157
216	120	156
217	120	155
218	120	154
219	121	154
220	121	153
221	121	152
222	122	151
223	122	151
224	122	150
225	123	149
226	123	148
227	124	148
228	124	147
229	124	146
230	126	147
231	126	146
232	127	145
233	127	145
234	127	144
235	128	143
236	128	142
237	129	142
238	129	141
239	129	140
240	131	141
241	131	140
242	132	139
243	132	139
244	132	138
245	133	137
246	133	136
247	134	136
248	134	135
249	134	134
250	135	134
251	135	133
252	136	133
253	137	132
254	137	132
255	138	132
256	139	131
257	139	130
258	139	130
259	140	129
260	140	128
261	140	128
262	141	127
263	141	126
264	142	126
265	142	125
266	142	124
267	143	123
268	143	123
269	143	122
270	144	121
271	144	121
272	145	120
273	145	120
274	145	119
275	146	118
276	146	118
277	147	117
278	147	116
279	147	116
280	148	115
281	148	114
282	148	114
283	149	113
284	149	112
285	150	112
286	150	111
287	150	110
288	151	110
289	151	109
290	151	109
291	152	108
292	152	107
293	153	107
294	153	106
295	153	105
296	154	105
297	154	104
298	154	104
299	155	103
300	155	102
301	155	102
302	156	101
303	156	101
304	157	100
305	157	99
306	157	99
307	158	98
308	158	98
309	158	97
310	159	96
311	159	96
312	160	95
313	160	95
314	160	94
315	161	93
316	162	93
317	162	93
318	162	92
319	163	91
320	163	91
321	164	90
322	164	90
323	164	89
324	165	88
325	165	88
326	165	87
327	166	87
328	166	86
329	167	86
330	167	85
331	167	84
332	168	84
333	168	83
334	168	83
335	169	82
336	169	82
337	170	81
338	170	80
339	170	80
340	171	79
341	171	79
342	171	78
343	172	78
344	172	77
345	173	77
346	173	76
347	173	75
348	174	75
349	174	74
350	175	74
351	175	73
352	175	73
353	176	72
354	176	72
355	176	71
356	177	70
357	177	70
358	178	69
359	178	69
360	178	68
361	179	68
362	179	67
363	179	67
364	180	66
365	180	66
366	180	65
367	181	65
368	181	64
369	182	63
370	182	63
371	182	62
372	183	62
373	183	61
374	183	61
375	184	60
376	184	60
377	185	59
378	187	59
379	187	59
380	188	58
381	188	58
382	188	57
383	189	57
384	189	56
385	190	56
386	190	55
387	190	55
388	191	54
389	191	54
390	191	53
391	192	52
392	192	52
393	193	51
394	193	51
395	193	50
396	194	50
397	194	49
398	194	49
399	195	48
400	195	48
401	196	47
402	196	47
403	196	46
404	197	46
405	197	45
406	197	45
407	198	44
408	198	44
409	199	43
410	199	43
411	199	42
412	200	42
413	200	41
414	200	41
415	201	40
416	201	40
417	201	39
418	202	39
419	202	38
420	203	38
421	203	37
422	203	37
423	204	36
424	204	36
425	205	35
426	205	35
427	205	34
428	206	34
429	206	33
430	206	33
431	207	32
432	207	32
433	209	31
434	209	31
435	209	30
436	210	30
437	210	29
438	210	29
439	211	28
440	211	28
441	212	27
442	212	27
443	212	26
444	213	26
445	213	25
446	213	25
447	214	24
448	214	24
449	214	23
450	215	23
451	215	22
452	216	22
453	216	21
454	216	21
455	217	20
456	217	20
457	217	19
458	218	19
459	218	19
460	219	18
461	219	18
462	219	17
463	220	17
464	220	16
465	220	16
466	221	15
467	221	15
