역이름,lon,lat
서울역,126.972317,37.555946
시청역,126.9768616,37.5657037
종각역,126.983197,37.570176
종로3가역,126.992148,37.570436
종로5가역,127.001921,37.570988
동대문역,127.010962,35.571707
신설동역,127.0248495,37.575326
제기동역,127.0345907,37.5781758
청량리역,127.048958,37.581381
동묘앞역,127.016589,37.573246
을지로입구역,126.982679,37.566065
을지로3가역,126.991051,37.566288
을지로4가역,126.9978028,37.5664649
동대문역사문화공원역,127.008953,37.565682
신당역,127.019452,37.565669
상왕십리역,127.028872,37.5645
왕십리역,127.038485,37.561949
한양대역,127.0436859,37.5555961
뚝섬역,127.047405,37.547206
성수역,127.055991,37.544577
건대입구역,127.069276,37.540372
구의역,127.086152,37.537153
강변역,127.094695,37.535098
잠실나루역,127.103839,37.520669
잠실역,127.1001336,37.5132612
잠실새내역,127.085585,37.511624
종합운동장역,127.073674,37.511037
삼성역,127.063149,37.508861
선릉역,127.048957,37.504487
역삼역,127.0373932,37.4999072
강남역,127.0473248,37.5172363
교대역,127.0142285,37.4934705
서초역,127.007688,37.49184
방배역,126.997638,37.481512
사당역,126.981633,37.476559
낙성대역,126.963418,37.477117
서울대입구역,126.952712,37.48121
봉천역,126.941574,37.482476
신림역,126.9383251,37.4626176
신대방역,126.913282,37.487519
구로디지털단지역,126.901594,37.485215
대림역,126.8949615,37.4925043
신도림역,126.8912061,37.5088099
문래역,126.8993953,37.5169837
영등포구청역,126.8959946,37.5248203
당산역,126.9019901,37.5340278
합정역,126.9101219,37.5463089
홍대입구역,126.9244669,37.557527
신촌역,126.942367,37.559771
이대역,126.945857,37.556761
아현역,126.956083,37.557382
충정로역,126.963672,37.560055
용답역,127.050853,37.562178
신답역,127.04701,37.569889
도림천역,126.88264,37.51447
양천구청역,126.865633,37.512322
신정네거리역,126.852796,37.520209
용두역,127.038653,37.573927
지축역,126.913746,37.648114
구파발역,126.918833,37.636581
연신내역,126.920842,37.618812
불광역,126.9298435,37.6105025
녹번역,126.935761,37.600869
홍제역,126.944094,37.588792
무악재역,126.950134,37.582634
독립문역,126.957918,37.574453
경복궁역,126.97358,37.575838
안국역,126.985472,37.576556
동대입구역,127.005316,37.558126
약수역,127.011001,37.554347
금호역,127.015789,37.54826
옥수역,127.018698,37.540514
압구정역,127.028513,37.52633
신사역,127.022883,37.524124
잠원역,127.011611,37.51296
고속터미널역,127.004453,37.505938
남부터미널역,127.01629,37.484918
양재역,127.034369,37.484102
매봉역,127.046918,37.487035
도곡역,127.0556945,37.49106
대치역,127.063446,37.494569
학여울역,127.070549,37.496683
대청역,127.079526,37.493601
일원역,127.084032,37.483869
수서역,127.1013245,37.4874685
가락시장역,127.118104,37.4923175
