date,days,dayoff,nextdayoff,seogang_on,seogang_off,gongdeok_on,gongdeok_off,worldcup_on,worldcup_off,hongik_on,hongik_off,yonggang_on,yonggang_off,av_temperature,rain,wind_speed,seogang,gongdeok,worldcup,hongik,yonggang
2017-01-01,일,1,0,11688,11751,28835,30137,13358,12565,35200,33579,18660,19015,4.5,0.0,2.0,37,14,23,172,24
2017-01-02,월,0,0,20362,21450,68984,70666,19774,18422,55476,57039,57626,58837,5.9,0.0,2.6,13,24,28,43,17
2017-01-03,화,0,0,21624,23024,72255,73294,20847,19627,59694,60959,61256,62586,3.4,0.0,1.8,20,19,27,56,35
2017-01-04,수,0,0,22016,23346,72611,73959,21223,19704,61018,62285,61557,63279,4.9,0.0,2.0,16,22,32,43,33
2017-01-05,목,0,0,22322,23811,72873,73812,21171,19667,61853,63728,62254,63826,5.3,0.0,3.0,36,16,18,62,17
2017-01-06,금,0,1,24199,27211,75454,76584,22006,20101,68089,73396,64195,65961,6.5,0.0,2.7,37,19,30,81,38
2017-01-07,토,1,1,19397,22197,52796,53128,18105,17146,59918,64464,37579,37659,6.2,0.0,1.5,36,23,23,113,29
2017-01-08,일,1,0,14008,14811,34340,34308,12500,11773,44292,43545,23342,22657,7.5,0.0,2.8,23,23,20,115,24
2017-01-09,월,0,0,22036,23224,72289,73229,21002,19594,59961,61069,61124,62436,2.1,0.0,4.3,17,16,18,56,27
2017-01-10,화,0,0,22455,23873,73423,74408,20872,19552,61202,62361,62649,64112,-2.7,0.0,4.2,26,18,20,44,23
2017-01-11,수,0,0,22087,23546,71877,72825,20666,19123,60656,62565,62415,63732,-2.9,0.0,2.8,36,22,26,46,28
2017-01-12,목,0,0,22687,24504,69218,71604,21487,20274,61931,63798,54744,58432,-1.3,0.0,4.0,20,22,17,69,27
2017-01-13,금,0,1,23638,26632,77579,77306,21373,20015,66060,71248,71075,71428,-5.3,0.0,4.1,30,25,18,80,18
2017-01-14,토,1,1,18819,21912,49945,50677,16009,15206,55034,59748,35512,36129,-7.6,0.0,5.4,31,29,38,95,27
2017-01-15,일,1,0,13386,14147,32349,32447,11411,10849,39525,39323,22118,21911,-5.7,0.0,3.0,27,11,16,101,23
2017-01-16,월,0,0,20940,22322,71755,72940,20373,18893,58165,59247,61345,62690,-2.3,0.0,1.7,27,18,8,53,25
2017-01-17,화,0,0,22366,23686,74883,75378,21477,20084,60876,62282,64259,65598,-0.4,0.0,1.6,21,29,15,60,36
2017-01-18,수,0,0,22580,23935,75360,76198,21483,20154,61504,63326,64329,65598,0.6,0.0,1.9,32,29,15,49,32
2017-01-19,목,0,0,23306,24931,77150,78144,21629,20190,62630,64560,63927,65494,-0.4,0.0,1.8,32,28,18,56,24
2017-01-20,금,0,1,25228,27496,80213,80729,22912,21349,68751,73609,69633,71754,-3.9,2.0,4.3,22,14,12,52,30
2017-01-21,토,1,1,19999,22630,53459,54350,17091,16110,58741,63540,38796,39272,-3.7,1.0,2.0,31,18,13,96,26
2017-01-22,일,1,0,15198,15571,34072,34478,11876,10916,45175,43162,22783,22851,-7.5,0.0,5.4,43,15,17,94,19
